"LexifierPhoneme","mplace","mmanner","class","mglobal"
"b",1,0.973684210526316,"stop",0.986842105263158
"d",1,0.947368421052632,"stop",0.973684210526316
"f",0.971428571428571,0.971428571428571,"fricative",0.971428571428571
"g",0.973684210526316,0.973684210526316,"stop",0.973684210526316
"k",1,0.947368421052632,"stop",0.973684210526316
"l",0.946428571428571,0.946428571428571,"lateral",0.946428571428571
"m",1,1,"nasal",1
"n",1,1,"nasal",1
"p",1,1,"stop",1
"r",0.81578947368421,0.789473684210526,"rhotic",0.802631578947368
"s",0.973684210526316,0.921052631578947,"fricative",0.947368421052632
"t",1,1,"stop",1
"t̠ʃ",0.789473684210526,0.736842105263158,"affricate",0.763157894736842
"v",0.5,0.236842105263158,"fricative",0.368421052631579
"z",0.958333333333333,0.958333333333333,"fricative",0.958333333333333
"ɲ",0.631578947368421,0.789473684210526,"nasal",0.710526315789474
"ɾ",0.789473684210526,0.710526315789474,"rhotic",0.75
"ʎ",0.631578947368421,0.31578947368421,"lateral",0.473684210526316
"ʒ",0.473684210526316,0.526315789473684,"fricative",0.5
